IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,PackageName,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen
6,10.215.173.1,44112,216.58.209.3,443,10040,Voronoi,com.voronoi.organization.app,HTTPS,Zamknij,fonts.gstatic.com,2970,168402,61,60,2025-08-24T14:31:51.576+02:00,2025-08-24T14:32:06.412+02:00
17,10.215.173.1,26342,10.215.173.2,53,10040,Voronoi,com.voronoi.organization.app,DNS,Zamknij,api.voronoiapp.com,64,112,1,1,2025-08-24T14:31:51.580+02:00,2025-08-24T14:31:51.619+02:00
17,10.215.173.1,18295,10.215.173.2,53,10040,Voronoi,com.voronoi.organization.app,DNS,Zamknij,api.voronoiapp.com,64,141,1,1,2025-08-24T14:31:51.589+02:00,2025-08-24T14:31:51.792+02:00
6,10.215.173.1,50890,99.79.14.108,443,10040,Voronoi,com.voronoi.organization.app,HTTPS,Zamknij,api.voronoiapp.com,896,5758,10,10,2025-08-24T14:31:51.621+02:00,2025-08-24T14:31:55.191+02:00
17,10.215.173.1,12924,10.215.173.2,53,10238,Usługi Google Play,com.google.android.gms,DNS,Zamknij,android.apis.google.com,69,109,1,1,2025-08-24T14:31:51.633+02:00,2025-08-24T14:31:51.649+02:00
17,10.215.173.1,43524,216.58.208.206,443,10238,Usługi Google Play,com.google.android.gms,QUIC,Zamknij,android.apis.google.com,9989,7864,23,24,2025-08-24T14:31:51.653+02:00,2025-08-24T14:32:25.816+02:00
6,10.215.173.1,50904,99.79.14.108,443,10040,Voronoi,com.voronoi.organization.app,TLS,Zamknij,api.voronoiapp.com,100,88,2,2,2025-08-24T14:31:52.197+02:00,2025-08-24T14:31:52.334+02:00
6,10.215.173.1,48610,3.98.16.223,443,10040,Voronoi,com.voronoi.organization.app,HTTPS,Zamknij,api.voronoiapp.com,1061,24341,14,13,2025-08-24T14:31:52.206+02:00,2025-08-24T14:31:55.896+02:00
6,10.215.173.1,50906,99.79.14.108,443,10040,Voronoi,com.voronoi.organization.app,HTTPS,Zamknij,api.voronoiapp.com,1338,5325,12,11,2025-08-24T14:31:52.807+02:00,2025-08-24T14:31:56.350+02:00
6,10.215.173.1,48626,3.98.16.223,443,10040,Voronoi,com.voronoi.organization.app,TLS,Zamknij,api.voronoiapp.com,100,88,2,2,2025-08-24T14:31:52.826+02:00,2025-08-24T14:31:52.950+02:00
17,10.215.173.1,44556,10.215.173.2,53,10040,Voronoi,com.voronoi.organization.app,DNS,Zamknij,cdn.voronoiapp.com,64,128,1,1,2025-08-24T14:31:52.844+02:00,2025-08-24T14:31:52.890+02:00
17,10.215.173.1,21391,10.215.173.2,53,10040,Voronoi,com.voronoi.organization.app,DNS,Zamknij,cdn.voronoiapp.com,64,141,1,1,2025-08-24T14:31:52.855+02:00,2025-08-24T14:31:53.062+02:00
6,10.215.173.1,45974,18.245.46.92,443,10040,Voronoi,com.voronoi.organization.app,HTTPS,Zamknij,cdn.voronoiapp.com,847,6087,9,9,2025-08-24T14:31:52.898+02:00,2025-08-24T14:31:53.064+02:00
6,10.215.173.1,45988,18.245.46.92,443,10040,Voronoi,com.voronoi.organization.app,HTTPS,Zamknij,cdn.voronoiapp.com,927,6135,11,11,2025-08-24T14:31:53.049+02:00,2025-08-24T14:31:53.191+02:00
6,10.215.173.1,55144,18.245.46.64,443,10040,Voronoi,com.voronoi.organization.app,TLS,Zamknij,cdn.voronoiapp.com,100,88,2,2,2025-08-24T14:31:53.068+02:00,2025-08-24T14:31:53.095+02:00
6,10.215.173.1,45990,18.245.46.92,443,10040,Voronoi,com.voronoi.organization.app,HTTPS,Zamknij,cdn.voronoiapp.com,928,6285,11,10,2025-08-24T14:31:53.169+02:00,2025-08-24T14:31:53.305+02:00
6,10.215.173.1,55148,18.245.46.64,443,10040,Voronoi,com.voronoi.organization.app,TLS,Zamknij,cdn.voronoiapp.com,100,88,2,2,2025-08-24T14:31:53.180+02:00,2025-08-24T14:31:53.211+02:00
6,10.215.173.1,45998,18.245.46.92,443,10040,Voronoi,com.voronoi.organization.app,HTTPS,Zamknij,cdn.voronoiapp.com,849,6211,9,9,2025-08-24T14:31:53.272+02:00,2025-08-24T14:31:53.414+02:00
6,10.215.173.1,55152,18.245.46.64,443,10040,Voronoi,com.voronoi.organization.app,TLS,Zamknij,cdn.voronoiapp.com,100,88,2,2,2025-08-24T14:31:53.286+02:00,2025-08-24T14:31:53.320+02:00
6,10.215.173.1,46010,18.245.46.92,443,10040,Voronoi,com.voronoi.organization.app,HTTPS,Zamknij,cdn.voronoiapp.com,845,6413,9,9,2025-08-24T14:31:53.392+02:00,2025-08-24T14:31:53.529+02:00
6,10.215.173.1,55168,18.245.46.64,443,10040,Voronoi,com.voronoi.organization.app,TLS,Zamknij,cdn.voronoiapp.com,100,88,2,2,2025-08-24T14:31:53.400+02:00,2025-08-24T14:31:53.429+02:00
6,10.215.173.1,46022,18.245.46.92,443,10040,Voronoi,com.voronoi.organization.app,HTTPS,Zamknij,cdn.voronoiapp.com,930,7757,11,10,2025-08-24T14:31:53.504+02:00,2025-08-24T14:31:53.645+02:00
6,10.215.173.1,55172,18.245.46.64,443,10040,Voronoi,com.voronoi.organization.app,TLS,Zamknij,cdn.voronoiapp.com,100,88,2,2,2025-08-24T14:31:53.515+02:00,2025-08-24T14:31:53.541+02:00
6,10.215.173.1,46026,18.245.46.92,443,10040,Voronoi,com.voronoi.organization.app,HTTPS,Zamknij,cdn.voronoiapp.com,846,6635,9,8,2025-08-24T14:31:53.624+02:00,2025-08-24T14:31:53.765+02:00
