IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,PackageName,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen
17,10.215.173.1,23188,10.215.173.2,53,10248,Samsung Accessory Service,com.samsung.accessory,DNS,Zamknij,gear.sca.samsung.com,66,132,1,1,2025-08-23T17:52:59.565+02:00,2025-08-23T17:52:59.593+02:00
17,10.215.173.1,51309,10.215.173.2,53,10062,Meta Services,com.facebook.services,DNS,Zamknij,z-m-gateway.facebook.com,70,114,1,1,2025-08-23T17:52:59.598+02:00,2025-08-23T17:52:59.620+02:00
6,10.215.173.1,46376,52.214.10.134,443,10248,Samsung Accessory Service,com.samsung.accessory,HTTPS,Zamknij,gear.sca.samsung.com,1369,7269,11,11,2025-08-23T17:52:59.615+02:00,2025-08-23T17:52:59.943+02:00
6,10.215.173.1,56656,185.60.217.40,443,10062,Meta Services,com.facebook.services,HTTPS,Zamknij,z-m-gateway.facebook.com,2905,4346,18,13,2025-08-23T17:52:59.625+02:00,2025-08-23T17:54:59.660+02:00
6,10.215.173.1,45392,18.203.124.33,9090,10248,Samsung Accessory Service,com.samsung.accessory,TCP,Zamknij,,780,768,4,4,2025-08-23T17:52:59.904+02:00,2025-08-23T17:54:03.653+02:00
17,10.215.173.1,41701,10.215.173.2,53,10233,Sklep Google Play,com.android.vending,DNS,Zamknij,play.googleapis.com,65,129,1,1,2025-08-23T17:53:02.780+02:00,2025-08-23T17:53:02.798+02:00
6,10.215.173.1,39028,216.239.34.223,443,10233,Sklep Google Play,com.android.vending,HTTPS,Zamknij,play.googleapis.com,3793,6611,13,13,2025-08-23T17:53:02.806+02:00,2025-08-23T17:53:03.112+02:00
17,10.215.173.1,29653,10.215.173.2,53,10238,Usługi Google Play,com.google.android.gms,DNS,Zamknij,spot-pa.googleapis.com,68,196,1,1,2025-08-23T17:53:38.356+02:00,2025-08-23T17:53:38.379+02:00
17,10.215.173.1,54385,142.250.203.138,443,10238,Usługi Google Play,com.google.android.gms,QUIC,Zamknij,spot-pa.googleapis.com,5659,4681,11,12,2025-08-23T17:53:38.400+02:00,2025-08-23T17:53:38.953+02:00
6,10.215.173.1,56204,142.250.147.188,5228,10238,Usługi Google Play,com.google.android.gms,TLS,Zamknij,mtalk.google.com,1399,1184,8,8,2025-08-23T17:53:50.281+02:00,2025-08-23T17:54:54.492+02:00
