IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,PackageName,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen
6,10.215.173.1,37916,71.18.240.1,443,10145,TikTok,com.zhiliaoapp.musically,HTTPS,Błąd,mon-va.tiktokv.com,1503,7534,11,10,2025-08-24T16:40:55.952+02:00,2025-08-24T16:40:57.691+02:00
17,10.215.173.1,29224,10.215.173.2,53,10145,TikTok,com.zhiliaoapp.musically,DNS,Zamknij,firebaseinstallations.googleapis.com,82,226,1,1,2025-08-24T16:40:56.313+02:00,2025-08-24T16:40:56.393+02:00
17,10.215.173.1,7237,10.215.173.2,53,10145,TikTok,com.zhiliaoapp.musically,DNS,Zamknij,api-boot.tiktokv.com,66,332,1,1,2025-08-24T16:40:56.389+02:00,2025-08-24T16:40:56.451+02:00
6,10.215.173.1,53792,8.8.4.4,443,10145,TikTok,com.zhiliaoapp.musically,HTTPS,Zamknij,dns.google,891,4335,7,7,2025-08-24T16:40:56.398+02:00,2025-08-24T16:41:07.612+02:00
6,10.215.173.1,56096,142.250.186.202,443,10145,TikTok,com.zhiliaoapp.musically,HTTPS,Błąd,firebaseinstallations.googleapis.com,2066,5205,10,9,2025-08-24T16:40:56.408+02:00,2025-08-24T16:40:57.781+02:00
17,10.215.173.1,27633,10.215.173.2,53,10145,TikTok,com.zhiliaoapp.musically,DNS,Zamknij,api-core-boot.tiktokv.com,71,300,1,1,2025-08-24T16:40:56.414+02:00,2025-08-24T16:40:56.511+02:00
17,10.215.173.1,47210,10.215.173.2,53,10145,TikTok,com.zhiliaoapp.musically,DNS,Zamknij,webcast-boot.tiktokv.com,70,298,1,1,2025-08-24T16:40:56.432+02:00,2025-08-24T16:40:56.511+02:00
17,10.215.173.1,23499,10.215.173.2,53,10145,TikTok,com.zhiliaoapp.musically,DNS,Zamknij,log-boot.tiktokv.com,66,290,1,1,2025-08-24T16:40:56.434+02:00,2025-08-24T16:40:56.512+02:00
17,10.215.173.1,16400,10.215.173.2,53,10145,TikTok,com.zhiliaoapp.musically,DNS,Zamknij,search16-normal-c-useast1a.tiktokv.com,84,326,1,1,2025-08-24T16:40:56.437+02:00,2025-08-24T16:40:56.513+02:00
6,10.215.173.1,44952,95.101.116.17,443,10145,TikTok,com.zhiliaoapp.musically,HTTPS,Zamknij,api-boot.tiktokv.com,3224,6913,11,11,2025-08-24T16:40:56.502+02:00,2025-08-24T16:42:00.834+02:00
17,10.215.173.1,47263,185.60.217.20,443,10274,Facebook,com.facebook.katana,QUIC,Zamknij,,7943,5074,20,19,2025-08-24T16:40:56.509+02:00,2025-08-24T16:40:57.694+02:00
17,10.215.173.1,5925,10.215.173.2,53,10274,Facebook,com.facebook.katana,DNS,Zamknij,graph.facebook.com,64,104,1,1,2025-08-24T16:40:56.517+02:00,2025-08-24T16:40:56.556+02:00
6,10.215.173.1,58062,95.101.116.25,443,10145,TikTok,com.zhiliaoapp.musically,HTTPS,Zamknij,api-core-boot.tiktokv.com,19166,261750,67,56,2025-08-24T16:40:56.518+02:00,2025-08-24T16:42:00.834+02:00
6,10.215.173.1,44966,95.101.116.17,443,10145,TikTok,com.zhiliaoapp.musically,HTTPS,Zamknij,log-boot.tiktokv.com,5992,33032,22,21,2025-08-24T16:40:56.533+02:00,2025-08-24T16:42:00.839+02:00
6,10.215.173.1,51962,95.101.116.27,443,10145,TikTok,com.zhiliaoapp.musically,HTTPS,Zamknij,search16-normal-c-useast1a.tiktokv.com,1057,5548,11,10,2025-08-24T16:40:56.536+02:00,2025-08-24T16:41:07.568+02:00
6,10.215.173.1,51964,95.101.116.27,443,10145,TikTok,com.zhiliaoapp.musically,HTTPS,Zamknij,webcast-boot.tiktokv.com,1017,5475,10,9,2025-08-24T16:40:56.542+02:00,2025-08-24T16:41:07.568+02:00
6,10.215.173.1,37506,185.60.217.3,443,10542,Instagram,com.instagram.android,HTTPS,Zamknij,gateway.instagram.com,3301,1136,16,11,2025-08-24T16:40:56.553+02:00,2025-08-24T16:41:03.760+02:00
17,10.215.173.1,47724,157.240.210.63,443,10542,Instagram,com.instagram.android,QUIC,Zamknij,,5366,10037,19,23,2025-08-24T16:40:56.790+02:00,2025-08-24T16:40:57.755+02:00
17,10.215.173.1,47597,10.215.173.2,53,10542,Instagram,com.instagram.android,DNS,Zamknij,i-fallback.instagram.com,70,119,1,1,2025-08-24T16:40:56.819+02:00,2025-08-24T16:40:56.852+02:00
6,10.215.173.1,43992,185.60.217.20,443,10145,TikTok,com.zhiliaoapp.musically,HTTPS,Błąd,graph.facebook.com,1434,5652,10,9,2025-08-24T16:40:56.960+02:00,2025-08-24T16:41:20.993+02:00
6,10.215.173.1,43996,185.60.217.20,443,10145,TikTok,com.zhiliaoapp.musically,HTTPS,Zamknij,graph.facebook.com,1897,5750,12,12,2025-08-24T16:40:56.989+02:00,2025-08-24T16:40:58.366+02:00
6,10.215.173.1,44004,185.60.217.20,443,10145,TikTok,com.zhiliaoapp.musically,HTTPS,Zamknij,graph.facebook.com,1857,5663,11,11,2025-08-24T16:40:57.015+02:00,2025-08-24T16:41:16.029+02:00
6,10.215.173.1,44012,185.60.217.20,443,10145,TikTok,com.zhiliaoapp.musically,HTTPS,Zamknij,graph.facebook.com,1711,4824,9,9,2025-08-24T16:40:57.026+02:00,2025-08-24T16:42:00.844+02:00
6,10.215.173.1,46648,185.60.217.13,443,10274,Facebook,com.facebook.katana,HTTPS,Zamknij,edge-mqtt.facebook.com,2580,1045,16,13,2025-08-24T16:40:57.028+02:00,2025-08-24T16:40:57.663+02:00
17,10.215.173.1,48219,10.215.173.2,53,10145,TikTok,com.zhiliaoapp.musically,DNS,Zamknij,cp-rp.tiktokv.com,63,169,1,1,2025-08-24T16:40:57.092+02:00,2025-08-24T16:40:57.129+02:00
6,10.215.173.1,59584,213.158.203.226,443,10145,TikTok,com.zhiliaoapp.musically,HTTPS,Zamknij,cp-rp.tiktokv.com,2293,4853,11,9,2025-08-24T16:40:57.208+02:00,2025-08-24T16:42:00.844+02:00
17,10.215.173.1,1495,10.215.173.2,53,10145,TikTok,com.zhiliaoapp.musically,DNS,Zamknij,reqhfg-cdn-settings.appsflyersdk.com,82,146,1,1,2025-08-24T16:40:57.283+02:00,2025-08-24T16:40:57.323+02:00
6,10.215.173.1,43148,18.172.111.36,443,10145,TikTok,com.zhiliaoapp.musically,HTTPS,Błąd,reqhfg-cdn-settings.appsflyersdk.com,1316,5867,9,8,2025-08-24T16:40:57.329+02:00,2025-08-24T16:41:23.804+02:00
