IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,PackageName,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen
17,10.215.173.1,54475,185.60.217.20,443,10542,Instagram,com.instagram.android,QUIC,Zamknij,,5008,2970,9,10,2025-08-18T17:56:48.127+02:00,2025-08-18T17:56:48.368+02:00
17,10.215.173.1,33725,10.215.173.2,53,10542,Instagram,com.instagram.android,DNS,Zamknij,graph.facebook.com,64,104,1,1,2025-08-18T17:56:48.130+02:00,2025-08-18T17:56:48.178+02:00
17,10.215.173.1,58306,10.215.173.2,53,10248,Samsung Accessory Service,com.samsung.accessory,DNS,Zamknij,gear.sca.samsung.com,66,132,1,1,2025-08-18T17:56:53.198+02:00,2025-08-18T17:56:53.219+02:00
6,10.215.173.1,60860,52.48.27.121,443,10248,Samsung Accessory Service,com.samsung.accessory,HTTPS,Zamknij,gear.sca.samsung.com,1368,7266,11,11,2025-08-18T17:56:53.244+02:00,2025-08-18T17:56:53.568+02:00
6,10.215.173.1,40658,99.81.66.188,9090,10248,Samsung Accessory Service,com.samsung.accessory,TCP,Zamknij,,780,752,4,4,2025-08-18T17:56:53.510+02:00,2025-08-18T17:57:54.202+02:00
17,10.215.173.1,11461,10.215.173.2,53,10238,Usługi Google Play,com.google.android.gms,DNS,Zamknij,mtalk.google.com,62,107,1,1,2025-08-18T17:56:58.226+02:00,2025-08-18T17:56:58.258+02:00
6,10.215.173.1,37672,142.250.147.188,5228,10238,Usługi Google Play,com.google.android.gms,TLS,Zamknij,mtalk.google.com,1355,1184,8,8,2025-08-18T17:56:58.270+02:00,2025-08-18T17:57:59.416+02:00
6,10.215.173.1,33774,185.60.217.20,443,10062,Meta Services,com.facebook.services,HTTPS,Zamknij,graph.facebook.com,1930,1704,9,9,2025-08-18T17:57:17.060+02:00,2025-08-18T17:57:17.304+02:00
17,10.215.173.1,37243,185.60.217.28,443,10542,Instagram,com.instagram.android,UDP,Zamknij,static.xx.fbcdn.net,185,82,2,1,2025-08-18T17:57:34.724+02:00,2025-08-18T17:57:34.864+02:00
17,10.215.173.1,54475,185.60.217.20,443,10542,Instagram,com.instagram.android,UDP,Zamknij,graph.facebook.com,163,66,2,1,2025-08-18T17:57:39.371+02:00,2025-08-18T17:57:39.584+02:00
6,10.215.173.1,44564,216.239.38.223,443,10233,Sklep Google Play,com.android.vending,HTTPS,Zamknij,play.googleapis.com,2928,2372,10,10,2025-08-18T17:57:40.254+02:00,2025-08-18T17:57:40.472+02:00
6,10.215.173.1,56542,185.60.217.175,5222,10542,Instagram,com.instagram.android,TCP,Zamknij,z-p42-chat-e2ee-ig.facebook.com,4860,1219,26,23,2025-08-18T17:57:43.887+02:00,2025-08-18T17:58:45.362+02:00
17,10.215.173.1,11947,10.215.173.2,53,10542,Instagram,com.instagram.android,DNS,Zamknij,z-p42-chat-e2ee-ig.facebook.com,77,129,1,1,2025-08-18T17:57:43.893+02:00,2025-08-18T17:57:43.917+02:00
17,10.215.173.1,28298,10.215.173.2,53,10028,PCAPdroid,com.emanuelef.remote_capture,DNS,Zamknij,firebaselogging.googleapis.com,76,204,1,1,2025-08-18T17:57:45.060+02:00,2025-08-18T17:57:45.090+02:00
6,10.215.173.1,45578,142.250.186.202,443,10028,PCAPdroid,com.emanuelef.remote_capture,HTTPS,Zamknij,firebaselogging.googleapis.com,2141,2173,8,8,2025-08-18T17:57:45.100+02:00,2025-08-18T17:58:45.363+02:00
