IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,PackageName,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen
6,10.215.173.1,47346,35.186.224.24,443,10304,Spotify,com.spotify.music,HTTPS,Zamknij,apresolve.spotify.com,2472,6514,18,17,2025-08-24T14:09:44.901+02:00,2025-08-24T14:10:48.325+02:00
6,10.215.173.1,47348,35.186.224.24,443,10304,Spotify,com.spotify.music,HTTPS,Zamknij,spclient.wg.spotify.com,1183,4526,11,10,2025-08-24T14:09:44.904+02:00,2025-08-24T14:09:44.996+02:00
17,10.215.173.1,45079,10.215.173.2,53,10304,Spotify,com.spotify.music,DNS,Zamknij,login5.spotify.com,64,113,1,1,2025-08-24T14:09:45.026+02:00,2025-08-24T14:09:45.066+02:00
17,10.215.173.1,51477,239.255.255.250,1900,10304,Spotify,com.spotify.music,SSDP,Zamknij,,1530,0,10,0,2025-08-24T14:09:45.038+02:00,2025-08-24T14:10:01.599+02:00
17,10.215.173.1,5353,224.0.0.251,5353,10304,Spotify,com.spotify.music,MDNS,Zamknij,,730,0,10,0,2025-08-24T14:09:45.458+02:00,2025-08-24T14:10:03.158+02:00
17,10.215.173.1,45809,10.215.173.2,53,10304,Spotify,com.spotify.music,DNS,Zamknij,ap-gew4.spotify.com,65,81,1,1,2025-08-24T14:09:45.466+02:00,2025-08-24T14:09:45.481+02:00
6,10.215.173.1,52742,34.158.1.133,4070,10304,Spotify,com.spotify.music,TCP,Zamknij,ap-gew4.spotify.com,4252,13527,36,36,2025-08-24T14:09:45.484+02:00,2025-08-24T14:10:03.713+02:00
6,10.215.173.1,47358,35.186.224.24,443,10304,Spotify,com.spotify.music,HTTPS,Zamknij,spclient.wg.spotify.com,171738,9418,64,63,2025-08-24T14:09:45.801+02:00,2025-08-24T14:11:47.951+02:00
6,10.215.173.1,47360,35.186.224.24,443,10304,Spotify,com.spotify.music,HTTPS,Błąd,spclient.wg.spotify.com,1143,3677,10,5,2025-08-24T14:09:45.811+02:00,2025-08-24T14:09:45.961+02:00
6,10.215.173.1,47368,35.186.224.24,443,10304,Spotify,com.spotify.music,HTTPS,Błąd,spclient.wg.spotify.com,1183,3717,11,6,2025-08-24T14:09:45.839+02:00,2025-08-24T14:09:45.961+02:00
6,10.215.173.1,47382,35.186.224.24,443,10304,Spotify,com.spotify.music,HTTPS,Zamknij,spclient.wg.spotify.com,33188,143409,207,236,2025-08-24T14:09:45.844+02:00,2025-08-24T14:11:57.312+02:00
6,10.215.173.1,47388,35.186.224.24,443,10304,Spotify,com.spotify.music,HTTPS,Błąd,spclient.wg.spotify.com,1143,3677,10,5,2025-08-24T14:09:45.851+02:00,2025-08-24T14:09:45.980+02:00
6,10.215.173.1,47402,35.186.224.24,443,10304,Spotify,com.spotify.music,HTTPS,Błąd,spclient.wg.spotify.com,1143,3677,10,5,2025-08-24T14:09:45.859+02:00,2025-08-24T14:09:45.980+02:00
6,10.215.173.1,47406,35.186.224.24,443,10304,Spotify,com.spotify.music,HTTPS,Błąd,spclient.wg.spotify.com,1143,3677,10,5,2025-08-24T14:09:45.865+02:00,2025-08-24T14:09:45.980+02:00
6,10.215.173.1,47420,35.186.224.24,443,10304,Spotify,com.spotify.music,HTTPS,Błąd,spclient.wg.spotify.com,1143,3677,10,5,2025-08-24T14:09:45.870+02:00,2025-08-24T14:09:45.980+02:00
6,10.215.173.1,47424,35.186.224.24,443,10304,Spotify,com.spotify.music,HTTPS,Błąd,spclient.wg.spotify.com,1183,3717,11,6,2025-08-24T14:09:45.873+02:00,2025-08-24T14:09:45.957+02:00
6,10.215.173.1,47436,35.186.224.24,443,10304,Spotify,com.spotify.music,HTTPS,Błąd,spclient.wg.spotify.com,1143,3677,10,5,2025-08-24T14:09:45.875+02:00,2025-08-24T14:09:45.980+02:00
17,10.215.173.1,58452,10.215.173.2,53,10304,Spotify,com.spotify.music,DNS,Zamknij,gew4-dealer.spotify.com,69,115,1,1,2025-08-24T14:09:45.877+02:00,2025-08-24T14:09:45.896+02:00
6,10.215.173.1,47438,35.186.224.24,443,10304,Spotify,com.spotify.music,HTTPS,Błąd,spclient.wg.spotify.com,1143,3677,10,5,2025-08-24T14:09:45.880+02:00,2025-08-24T14:09:45.980+02:00
6,10.215.173.1,47444,35.186.224.24,443,10304,Spotify,com.spotify.music,HTTPS,Błąd,spclient.wg.spotify.com,1143,3677,10,5,2025-08-24T14:09:45.883+02:00,2025-08-24T14:09:45.981+02:00
6,10.215.173.1,47458,35.186.224.24,443,10304,Spotify,com.spotify.music,HTTPS,Błąd,spclient.wg.spotify.com,1143,3677,10,5,2025-08-24T14:09:45.886+02:00,2025-08-24T14:09:45.981+02:00
6,10.215.173.1,47472,35.186.224.24,443,10304,Spotify,com.spotify.music,HTTPS,Błąd,spclient.wg.spotify.com,1143,3677,10,5,2025-08-24T14:09:45.889+02:00,2025-08-24T14:09:45.985+02:00
17,10.215.173.1,3035,10.215.173.2,53,10304,Spotify,com.spotify.music,DNS,Zamknij,gew4-spclient.spotify.com,71,125,1,1,2025-08-24T14:09:45.892+02:00,2025-08-24T14:09:45.909+02:00
6,10.215.173.1,48820,35.186.224.44,443,10304,Spotify,com.spotify.music,HTTPS,Zamknij,gew4-dealer.spotify.com,2583,13857,32,32,2025-08-24T14:09:45.898+02:00,2025-08-24T14:10:03.721+02:00
6,10.215.173.1,47688,35.186.224.28,443,10304,Spotify,com.spotify.music,HTTPS,Zamknij,gew4-spclient.spotify.com,267865,1275949,895,1190,2025-08-24T14:09:45.911+02:00,2025-08-24T14:11:57.310+02:00
6,10.215.173.1,47704,35.186.224.28,443,10304,Spotify,com.spotify.music,HTTPS,Zamknij,gew4-spclient.spotify.com,1183,4558,11,11,2025-08-24T14:09:45.913+02:00,2025-08-24T14:09:46.023+02:00
17,10.215.173.1,51596,10.215.173.2,53,10304,Spotify,com.spotify.music,DNS,Zamknij,pickasso.spotifycdn.com,69,183,1,1,2025-08-24T14:09:46.687+02:00,2025-08-24T14:09:46.709+02:00
6,10.215.173.1,60520,146.75.118.250,443,10304,Spotify,com.spotify.music,HTTPS,Zamknij,pickasso.spotifycdn.com,28932,1921731,488,513,2025-08-24T14:09:46.713+02:00,2025-08-24T14:11:57.310+02:00
6,10.215.173.1,60526,146.75.118.250,443,10304,Spotify,com.spotify.music,HTTPS,Błąd,pickasso.spotifycdn.com,1143,5260,10,5,2025-08-24T14:09:46.763+02:00,2025-08-24T14:09:46.872+02:00
17,10.215.173.1,47614,10.215.173.2,53,10304,Spotify,com.spotify.music,DNS,Zamknij,image-cdn-ak.spotifycdn.com,73,397,1,1,2025-08-24T14:09:46.767+02:00,2025-08-24T14:09:46.783+02:00
6,10.215.173.1,58076,213.158.203.240,443,10304,Spotify,com.spotify.music,HTTPS,Błąd,image-cdn-ak.spotifycdn.com,1239,4101,12,11,2025-08-24T14:09:46.793+02:00,2025-08-24T14:09:46.866+02:00
6,10.215.173.1,58084,213.158.203.240,443,10304,Spotify,com.spotify.music,HTTPS,Błąd,image-cdn-ak.spotifycdn.com,1159,3862,10,5,2025-08-24T14:09:46.795+02:00,2025-08-24T14:09:46.872+02:00
6,10.215.173.1,58096,213.158.203.240,443,10304,Spotify,com.spotify.music,HTTPS,Zamknij,image-cdn-ak.spotifycdn.com,2654,149676,31,35,2025-08-24T14:09:46.798+02:00,2025-08-24T14:10:48.326+02:00
6,10.215.173.1,58104,213.158.203.240,443,10304,Spotify,com.spotify.music,HTTPS,Błąd,image-cdn-ak.spotifycdn.com,1159,3863,10,5,2025-08-24T14:09:46.800+02:00,2025-08-24T14:09:46.885+02:00
6,10.215.173.1,58114,213.158.203.240,443,10304,Spotify,com.spotify.music,HTTPS,Zamknij,image-cdn-ak.spotifycdn.com,1199,4840,11,11,2025-08-24T14:09:46.803+02:00,2025-08-24T14:09:46.911+02:00
6,10.215.173.1,58126,213.158.203.240,443,10304,Spotify,com.spotify.music,HTTPS,Zamknij,image-cdn-ak.spotifycdn.com,1199,4761,11,10,2025-08-24T14:09:46.806+02:00,2025-08-24T14:09:46.912+02:00
6,10.215.173.1,58132,213.158.203.240,443,10304,Spotify,com.spotify.music,HTTPS,Zamknij,image-cdn-ak.spotifycdn.com,1199,4405,11,11,2025-08-24T14:09:46.808+02:00,2025-08-24T14:09:46.878+02:00
6,10.215.173.1,58140,213.158.203.240,443,10304,Spotify,com.spotify.music,HTTPS,Błąd,image-cdn-ak.spotifycdn.com,1159,3863,10,5,2025-08-24T14:09:46.811+02:00,2025-08-24T14:09:46.886+02:00
17,10.215.173.1,4542,10.215.173.2,53,10304,Spotify,com.spotify.music,DNS,Zamknij,census-app.scorecardresearch.com,78,185,1,1,2025-08-24T14:09:51.328+02:00,2025-08-24T14:09:51.349+02:00
6,10.215.173.1,35770,18.244.18.27,443,10304,Spotify,com.spotify.music,HTTPS,Zamknij,census-app.scorecardresearch.com,2350,6700,11,11,2025-08-24T14:09:51.355+02:00,2025-08-24T14:10:21.518+02:00
17,10.215.173.1,55084,10.215.173.2,53,10304,Spotify,com.spotify.music,DNS,Zamknij,image-cdn-fa.spotifycdn.com,73,187,1,1,2025-08-24T14:09:52.268+02:00,2025-08-24T14:09:52.292+02:00
17,10.215.173.1,53848,10.215.173.2,53,10238,Usługi Google Play,com.google.android.gms,DNS,Zamknij,app-measurement.com,65,81,1,1,2025-08-24T14:09:58.462+02:00,2025-08-24T14:09:58.486+02:00
17,10.215.173.1,53587,142.250.203.206,443,10238,Usługi Google Play,com.google.android.gms,QUIC,Zamknij,app-measurement.com,4546,4774,9,11,2025-08-24T14:09:58.491+02:00,2025-08-24T14:09:58.592+02:00
